turn,mode,outside_mask_psnr,ssim,lpips,runtime_s,peak_memory_mb
1,naive,35.83364709037998,0.9227859377861023,0.0066834380850195885,1.9110683749895543,2594.234375
1,hybrid,inf,0.9777447581291199,0.0020896797068417072,1.6094081670162268,2594.234375
2,naive,34.207459801578445,0.906089723110199,0.012647947296500206,1.582905874995049,2594.234375
2,hybrid,inf,0.9736087322235107,0.003841246012598276,1.6234403330017813,2594.234375
3,naive,32.650175727131135,0.8840053677558899,0.022744353860616684,1.6018514999886975,2594.234375
3,hybrid,inf,0.9687383770942688,0.0063034663908183575,1.6043905830010772,2594.234375
4,naive,31.28133247307685,0.859889566898346,0.03745931014418602,1.5940786669962108,2594.234375
4,hybrid,inf,0.9637616276741028,0.00894930213689804,1.6162526249827351,2594.234375
5,naive,30.092360015998917,0.8352804183959961,0.05753010883927345,1.611438874999294,2594.234375
5,hybrid,inf,0.9591848254203796,0.011863231658935547,1.6240865419968031,2594.234375
